ID,Name,Department,Title,OCEAN_Openness,OCEAN_Conscientiousness,OCEAN_Extraversion,OCEAN_Agreeableness,OCEAN_Neuroticism,Sus_Authority,Risk_Authority,Sus_Urgency,Risk_Urgency,Sus_Scarcity,Risk_Scarcity,Sus_Social Proof,Risk_Social Proof,Sus_Liking,Risk_Liking,Sus_Reciprocity,Risk_Reciprocity,Overall_Risk_Score,Top_Vulnerability
EMP-038,Sneha Gupta,Sales,Account Executive,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-039,Deepak Das,Sales,Business Development Lead,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-010,Ritu Patel,HR,People Operations Manager,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-002,Kavya Mishra,Finance,Budget Manager,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-044,Shreya Bose,Operations,Process Engineer,0.4,0.6975,0.3,0.4404,0.5053,0.5414,MEDIUM,0.4901,MEDIUM,0.5254,MEDIUM,0.4199,MEDIUM,0.4214,MEDIUM,0.4496,MEDIUM,0.4746,Authority
EMP-035,Swati Iyer,Sales,Account Executive,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-048,Manish Verma,Operations,Operations Manager,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-025,Karan Joshi,Engineering,Tech Lead,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-045,Suresh Sharma,Operations,Process Engineer,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-016,Divya Pillai,HR,People Operations Manager,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-022,Vivek Singh,Engineering,Solutions Architect,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-029,Rahul Pandey,Legal,Legal Counsel,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-005,Karan Shah,Finance,Senior Accountant,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-001,Arjun Verma,Finance,Budget Manager,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
