ID,Name,Department,Title,OCEAN_Openness,OCEAN_Conscientiousness,OCEAN_Extraversion,OCEAN_Agreeableness,OCEAN_Neuroticism,Sus_Authority,Risk_Authority,Sus_Urgency,Risk_Urgency,Sus_Scarcity,Risk_Scarcity,Sus_Social Proof,Risk_Social Proof,Sus_Liking,Risk_Liking,Sus_Reciprocity,Risk_Reciprocity,Overall_Risk_Score,Top_Vulnerability
EMP-003,Rahul Mishra,Finance,Budget Manager,0.487,0.3767,0.4739,0.6109,0.5109,0.4661,MEDIUM,0.4922,MEDIUM,0.4746,MEDIUM,0.5093,MEDIUM,0.517,MEDIUM,0.5036,MEDIUM,0.4938,Liking
EMP-013,Divya Mehta,Engineering,Software Engineer,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-026,Nikhil Iyer,Operations,Operations Manager,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-030,Pooja Pillai,Operations,Operations Manager,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-008,Kavya Das,HR,Talent Acquisition Lead,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-027,Kavya Patel,Operations,Operations Manager,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-005,Ravi Sharma,Finance,Senior Accountant,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-011,Ravi Bose,Engineering,DevOps Engineer,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-022,Neha Das,Sales,Account Executive,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-001,Deepak Rao,Finance,Financial Analyst,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-017,Deepak Patel,Legal,Data Protection Lead,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-020,Vivek Sharma,Legal,Legal Counsel,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-006,Suresh Patel,HR,HR Business Partner,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-007,Ritu Nair,HR,Talent Acquisition Lead,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-009,Neha Mishra,HR,Talent Acquisition Lead,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-029,Neha Kumar,Operations,Supply Chain Analyst,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-023,Meera Mishra,Sales,Sales Manager,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-025,Aditya Gupta,Sales,Account Executive,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-014,Swati Nair,Engineering,DevOps Engineer,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-021,Swati Mehta,Sales,Business Development Lead,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-002,Rahul Sharma,Finance,Budget Manager,0.4,0.6975,0.3,0.4404,0.5053,0.5414,MEDIUM,0.4901,MEDIUM,0.5254,MEDIUM,0.4199,MEDIUM,0.4214,MEDIUM,0.4496,MEDIUM,0.4746,Authority
EMP-028,Karan Sharma,Operations,Process Engineer,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-018,Rohan Sharma,Legal,Data Protection Lead,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-015,Rohan Singh,Engineering,Software Engineer,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-012,Nikhil Bose,Engineering,Tech Lead,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
